,Open,High,Low,Close
0,145.5,147.25,139.75,141.45
1,140.8,141.95,136.4,140.3
2,141.0,142.45,136.85,140.9
3,140.95,142.0,138.9,139.6
4,140.4,142.55,139.5,141.6
5,139.3,143.5,139.3,141.7
6,140.3,143.0,140.3,142.3
7,141.65,147.8,141.65,145.1
8,145.0,146.15,141.1,141.45
9,142.0,142.0,138.2,140.95
